period_key,period_text,bs_year,bs_month,period_order,fiscal_year,fiscal_year_start,fiscal_month,fiscal_quarter,bfi_code,sector,full_name,include_in_report,Total Deposit,Current,Savings,Fixed,Call Deposits,Others,Total loan,Loan to customers,Loan to BFIs,NBA,Investment in Govt. Sec,Investment in Shares and Other,Capital,General Reserve,LLP fund,Debenture,Interest Income,Interest Expense,NII,Commission and Discount Income,LLP Exp,HR Exp (excl. Bonus),Opex,Loan W/f,Net Profit,Other Operating Income,Savings Deposit Ratio,Loan to Deposit Ratio
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NBL,Commercial Bank,Nepal Bank Limited,0,375.63605718193116,25.6065142335356,208.5951714134036,109.15098186841598,29.45988064814999,2.8235090184260003,251.22704327371915,243.07658567048915,8.147657138560001,229.22785025,52580.112416079995,15471.51547300238,14.69402292799,8.811426861443397,14.37291629277964,3.4960540128415856,13432.40926112084,7896.667712867153,5535.741548253687,787.23162322,1126.3700948796431,2704.6979582389827,885.260514937612,0.0,1186.81923403653,458.73126270989815,0.5553118967819829,0.6688043878387393
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,RBB,Commercial Bank,Rastriya Banijya Bank,0,583.3178516367449,39.262514002257305,293.57539063613604,205.27179161370947,43.61019648808992,1.5979588965521319,333.06280277491567,320.2394395306257,11.14487273141,288.76877558,127359.20587804,7771.929153287107,15.637377054,12.876722690520001,15.075769008829665,5.0,18613.3110803438,11086.56829439275,7526.74278595105,261.29118337,1309.967662325168,3290.2812123148947,1135.017125359082,0.0,2339.07639240607,1173.4211132042,0.5032854554551797,0.5709799585943875
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NABIL,Commercial Bank,Nabil Bank Limited,0,584.7348473120412,58.87978195569515,260.290371419494,208.8549222801725,52.65280740461459,4.0569642520649,462.50888092559495,445.4362443632549,17.062553659089996,3388.99537004,51237.423666090006,47767.492955580004,32.05699672852,17.298953941883756,21.832797341012395,12.207108,25004.67014290722,14348.185567012215,10656.484575895005,2800.8943808100003,-37.97096695952564,2722.665375194062,1653.216081291132,105.95883773999999,6074.128279820696,368.49327431,0.4451425678083304,0.7909719816626203
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NIMB,Commercial Bank,Nepal Investment Mega Bank Limited,0,527.0878287900886,55.8329650663838,184.3389092546219,226.860867837708,55.685344631655795,4.369741999719,361.33980137900977,344.74927380763575,15.614161889810003,3879.45132889,78970.05629489,65373.42105525078,34.12859489652,13.573161257392893,28.281126000169934,10.04,21311.320983550002,12693.391312810003,8617.929670739999,1230.32392286,2878.707592980004,2138.75728019,1694.97514739,64.30730016,2880.8583381813987,677.31810054,0.3497309161506638,0.6855400213062262
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,SCBNL,Commercial Bank,Standard Chartered Bank Nepal Limited,0,140.17717869754503,26.813887008669997,70.81236780461501,28.41975109397,11.757627762220002,2.37354502807,80.61647546081518,75.93077007005517,3.755,0.0,1624.22037595,14543.525319189353,10.04236839766,7.1858249772,2.0984792831452257,2.4,4903.807605559875,2297.5354396699995,2606.2721658898754,1184.5350910399998,8.390155526805643,695.4799144296298,540.15630034,10.94009353,1808.2592635268825,63.79612928,0.5051633116215312,0.5751041375626362
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,HBL,Commercial Bank,Himalayan Bank Limited,0,338.1530104088987,25.12055495003997,111.62364372174864,165.6577401508501,31.495579000499994,4.25549258576,256.46556457583,245.51253873339,10.792025842440001,6089.717272180001,37988.4038523,28853.689907842163,22.5816625317,7.215396180199999,23.859217570463773,8.050608362350001,15342.883178459999,9327.10228255,6015.780895909998,616.7189957399999,1803.3577994137888,2101.1853045899998,1393.9469854300003,63.70487080000001,1322.5672922542085,125.87685916,0.330098033392552,0.758430523110555
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NSBI,Commercial Bank,Nepal SBI Bank Limited,0,216.875452496502,11.77368005488,74.75357618271,110.25346147381703,17.745578572470002,2.3491562126250005,151.22223356462806,144.96221950703804,6.25993402009,1032.1846449099999,30675.116,21512.271946,11.335124390719999,4.542687444336691,6.127891402289865,8.84085455011,9532.411170060313,6163.7132446,3368.697925460314,993.8035449279016,558.404386593236,1121.1414140949612,714.8680638599999,0.0,1385.0426924900232,111.92017225,0.34468435833656974,0.6972768555586859
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,EBL,Commercial Bank,Everest Bank Limited,0,304.12896566651,22.16805831535,107.29576196317001,143.86099329214997,27.864442755700008,2.93970934014,250.18037343331,238.26215227536997,10.92675154697,513.93741068,56810.10895519,13352.12035277,13.721375924079998,7.71696809189,3.859029021996699,6.603613,13348.460237637646,7332.46534717258,6015.994890465066,1393.9741449900002,562.7521375083097,1442.6647356566664,1059.83663943,0.0,2907.9314075228817,28.171016189999996,0.35279691866253954,0.8226127783817971
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NIC,Commercial Bank,NIC ASIA Bank Limited,0,319.38052848942004,11.989373856190001,164.87487606469,117.76365701018,24.56408634767,0.18853521069000004,217.19089365485178,211.83191747387178,5.358976180979999,4170.65677733,54185.29791284,9300.80602239,14.917566922,5.66298828424,16.270407479692928,10.922258,15547.317038383984,9989.545934409885,5557.771103974099,1074.2470984699999,2433.071500774329,2000.2368095600002,1505.7321344619352,357.63492024,308.2765330687425,141.88522095000002,0.5162333372184639,0.6800379931804345
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,MBL,Commercial Bank,Machhapuchchhre Bank Limited,0,212.9663064595026,12.44927659746745,103.73817577811114,75.96503954498449,18.6863332372482,2.127481301691253,163.93667050278998,155.85791324936,6.504904039750001,624.0142012200001,29237.55,12346.552197369998,12.086211563900001,3.276270877,6.556670558657137,5.253496,9036.217517010002,5127.60261491,3908.614902100002,1189.3183994300005,577.3433412752549,1502.8685220399998,846.9075958299998,15.413636530000003,1484.465948172904,69.4631323,0.48711074302186796,0.7697774978032216
