period_key,period_text,bs_year,bs_month,period_order,fiscal_year,fiscal_year_start,fiscal_month,fiscal_quarter,bfi_code,sector,full_name,include_in_report,Total Deposit,Current,Savings,Fixed,Call Deposits,Others,Total loan,Loan to BFIs,Loan to customers,NBA,Investment in Govt. Sec,Investment in Shares and Other,Liquid Funds,Capital,General Reserve,LLP fund,Debenture,Product Wise | Term Loan,Product Wise | Overdraft,Product Wise | Cash Credit Loan,Product Wise | Trust Receipt Loan/Import Loan,Product Wise | Short Term Working Capital/Demand Loan,Product Wise | Residential Personal Home Loan (Up to Rs. 30 million)#,Product Wise | Real Estate Loan,Product Wise | Margin Nature Loan,Product Wise | Hire Purchase Loan,Product Wise | Deprived Sector Loan,Product Wise | Bills Purchased,Product Wise | Other Product,Product Wise | Total Product wise Loan,Interest Income,Interest Expense,NII,Commission and Discount Income,LLP Exp,HR Exp (excl. Bonus),Opex,Loan W/f,Net Profit,Other Operating Income,Current Deposit Ratio,Savings Deposit Ratio,Fixed Deposit Ratio,Call Deposit Ratio,Other Deposit Ratio,CASA Ratio,Loan to Deposit Ratio,Full Loan to Deposit Ratio,Liquid Assets,Liquidity Ratio,Govt Sec to Deposit Ratio,Share Investment to Capital Ratio,Product Wise | Residential Personal Home Loan (Up to Rs. 20 million)#
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NBL,Commercial Bank,Nepal Bank Limited,0,375.63605718193116,25.6065142335356,208.5951714134036,109.15098186841598,29.45988064814999,2.8235090184260003,251.22704327371915,8.147657138560001,243.07938613515915,229.22785025,52580.112416079995,15471.51547300238,72.16452960406262,14.69402292799,8.811426861443397,14.37291629277964,3.4960540128415856,55.02386311642,6.74614260671,18.682432152740002,2.60643437328,21.65183345287,12.74688677293,13.579904746439999,6.828092880569999,2.41052211888,12.023862851038096,0.0028004646700000003,98.92426773717105,251.22704327371915,13432.40926112084,7896.667712867153,5535.741548253687,787.23162322,1126.3700948796431,2704.6979582389827,885.260514937612,0.0,1186.81923403653,458.73126270989815,0.06816841393139647,0.5553118967819829,0.29057642306034287,0.07842665815726454,0.007516608069013181,0.6234803107133794,0.6471140921847898,0.6688043878387393,124.74464202014262,0.3320891049597117,0.13997621210951525,1.0529121635934955,
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,RBB,Commercial Bank,Rastriya Banijya Bank,0,583.3178516367449,39.262514002257305,293.57539063613604,205.27179161370947,43.61019648808992,1.5979588965521319,333.0628027749263,11.14487273141,321.9179300435163,288.76877558,127359.20587804,7771.929153287107,59.488514612196965,15.637377054,12.876722690520001,15.075769008829665,5.0,83.76285653524593,5.938670440009991,67.96204518336852,2.0426989581,26.908165926030406,33.62514,9.579010044298396,8.12858283577,10.861690922363374,15.406938869624575,0.00851423447,68.8384888256451,333.0628027749263,18613.3110803438,11086.56829439275,7526.74278595105,261.29118337,1309.967662325168,3290.2812123148947,1135.017125359082,0.0,2339.07639240607,1173.4211132042,0.0673089532440842,0.5032854554551797,0.3519038394551661,0.07476232103256067,0.0027394308130093783,0.5705944086992638,0.5518739554091127,0.5709799585944058,186.84772049023695,0.3203188792627496,0.21833586186447046,0.4970097687386177,
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NABIL,Commercial Bank,Nabil Bank Limited,0,584.7348473120412,58.87978195569515,260.290371419494,208.8549222801725,52.65280740461459,4.0569642520649,463.9521991570774,17.062553659089996,446.88964549798743,3388.99537004,51237.423666090006,47767.492955580004,34.02945734373017,32.05699672852,17.298953941883756,21.832797341012395,12.207108,129.94715849635747,3.061590151,1.6908783388100004,19.438942807925002,116.99306598202995,30.702828432560093,16.696280807069996,17.460962801460003,12.731861779970004,22.56757936574004,0.011062353249999999,92.64998784090484,463.9521991570774,25004.67014290722,14348.185567012215,10656.484575895005,2800.8943808100003,-37.97096695952564,2722.665375194062,1653.216081291132,105.95883773999999,6074.128279820696,368.49327431,0.10069484010805707,0.4451425678083304,0.3571788533559348,0.09004561237739377,0.006938126350283891,0.5458374079163875,0.7642603267998952,0.7934403110911078,85.26688100982018,0.1458214460824119,0.0876250558721146,1.4900801020166348,
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NIMB,Commercial Bank,Nepal Investment Mega Bank Limited,0,527.0878287900886,55.8329650663838,184.3389092546219,226.860867837708,55.685344631655795,4.369741999719,361.33980137900596,15.614161889810003,345.72563948919594,3879.45132889,78970.05629489,65373.42105525078,35.807498014159975,34.12859489652,13.573161257392893,28.281126000169934,10.04,115.93465050742596,2.1504976455199976,23.752294785700002,30.3358581231,119.00140585692598,8.650211862099997,24.32584350327,3.9330087162400003,5.931790987490003,18.123202183079968,0.14731846856399997,9.05371873959,361.33980137900596,21311.320983550002,12693.391312810003,8617.929670739999,1230.32392286,2878.707592980004,2138.75728019,1694.97514739,64.30730016,2880.8583381813987,677.31810054,0.10592725162056273,0.3497309161506638,0.430404299713122,0.10564718361924526,0.008290348896406105,0.45565816777122653,0.6559165676103675,0.6855400213062188,114.77755430904998,0.21775792958930162,0.14982333490068053,1.9155028577492572,
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,SCBNL,Commercial Bank,Standard Chartered Bank Nepal Limited,0,140.17717869754503,26.813887008669997,70.81236780461501,28.41975109397,11.757627762220002,2.37354502807,80.61647546081521,3.755,76.86147546081521,0.0,1624.22037595,14543.525319189353,27.03703522858999,10.04236839766,7.1858249772,2.0984792831452257,2.4,12.289541042950008,0.10263834126000002,10.19469866216,3.6526710893951977,23.413598114629995,10.006772016499996,7.25297037989,0.0,1.07486032161,3.893807033,0.9307053907599998,7.8042130686599975,80.61647546081521,4903.807605559875,2297.5354396699995,2606.2721658898754,1184.5350910399998,8.390155526805643,695.4799144296298,540.15630034,10.94009353,1808.2592635268825,63.79612928,0.19128568043536745,0.5051633116215312,0.20274163995902797,0.08387690401152237,0.016932463972550823,0.6964489920568987,0.548316610271179,0.5751041375626365,28.66125560453999,0.20446449180134585,0.011586910159281481,1.4482166699419412,
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,HBL,Commercial Bank,Himalayan Bank Limited,0,338.1530104088987,25.12055495003997,111.62364372174864,165.6577401508501,31.495579000499994,4.25549258576,256.46556457582295,10.792025842440001,245.67353873338294,6089.717272180001,37988.4038523,28853.689907842163,36.285285519470015,22.5816625317,7.215396180199999,23.859217570463773,8.050608362350001,96.31863119523,3.2301505884099995,51.82438711624001,15.522081259500004,37.18915334069995,5.538595460629998,10.602082288839997,3.6457644946800003,9.279744623380001,11.444360860969999,0.0,11.870613347243008,256.46556457582295,15342.883178459999,9327.10228255,6015.780895909998,616.7189957399999,1803.3577994137888,2101.1853045899998,1393.9469854300003,63.70487080000001,1322.5672922542085,125.87685916,0.074287539003908,0.330098033392552,0.4898898872748013,0.0931400225076073,0.012584517821131349,0.40438557239646006,0.7265159001137135,0.7584305231105342,74.27368937177002,0.21964521114851937,0.11234087138944575,1.2777486984112676,
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NSBI,Commercial Bank,Nepal SBI Bank Limited,0,216.875452496502,11.77368005488,74.75357618271,110.25346147381703,17.745578572470002,2.3491562126250005,151.22223356462789,6.25993402009,144.96229954453787,1032.1846449099999,30675.116,21512.271946,16.379776964829993,11.335124390719999,4.542687444336691,6.127891402289865,8.84085455011,48.16415272502999,0.11719448839999999,20.708667667639997,6.830613113038,22.024640968149996,3.03311299815,4.367273494569999,0.6038743537,3.748513950389999,7.02296861619,8.00375e-05,34.60114115186991,151.22223356462789,9532.411170060313,6163.7132446,3368.697925460314,993.8035449279016,558.404386593236,1121.1414140949612,714.8680638599999,0.0,1385.0426924900232,111.92017225,0.05428774865643173,0.34468435833656974,0.508372248701569,0.08182382269729777,0.010831821608131932,0.3989721069930015,0.6684126666980718,0.697276855558685,47.054892964829996,0.21696735348869853,0.14144116195213363,1.8978417178740423,
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,EBL,Commercial Bank,Everest Bank Limited,0,304.12896566651,22.16805831535,107.29576196317001,143.86099329214997,27.864442755700008,2.93970934014,250.18037343331017,10.92675154697,239.25362188634017,513.93741068,56810.10895519,13352.12035277,29.824624389151992,13.721375924079998,7.71696809189,3.859029021996699,6.603613,82.73968204441255,3.2474798870600026,44.157862071050076,9.091871849664999,32.65090892536251,26.306958227499972,8.304453642369998,4.626853608130001,10.862295132420002,11.724875865810024,0.8072996109700001,15.659832568559997,250.18037343331017,13348.460237637646,7332.46534717258,6015.994890465066,1393.9741449900002,562.7521375083097,1442.6647356566664,1059.83663943,0.0,2907.9314075228817,28.171016189999996,0.07289032225775624,0.35279691866253954,0.4730262800745507,0.09162048308892262,0.009665995916230855,0.4256872409202958,0.7866847584280797,0.8226127783817978,86.634733344342,0.2848618287787181,0.18679611404552843,0.9730890274158306,
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,NIC,Commercial Bank,NIC ASIA Bank Limited,0,319.38052848942004,11.989373856190001,164.87487606469,117.76365701018,24.56408634767,0.18853521069000004,217.19089365485007,5.358976180979999,211.83191747387008,4170.65677733,54185.29791284,9300.80602239,22.675722110709998,14.917566922,5.66298828424,16.270407479692928,10.922258,81.73985210986011,1.3098688675199996,49.945770103260024,0.032291,5.31861222245,41.1884409753,20.953992098419974,4.64371136568,1.6158007248699993,7.159648509949996,0.0,3.28290567753998,217.19089365485007,15547.317038383984,9989.545934409885,5557.771103974099,1074.2470984699999,2433.071500774329,2000.2368095600002,1505.7321344619352,357.63492024,308.2765330687425,141.88522095000002,0.037539464014592135,0.5162333372184639,0.36872522431836696,0.07691165915421085,0.0005903152943659982,0.5537728012330561,0.663258710466087,0.6800379931804291,76.86102002355,0.24065656221148163,0.1696574871646722,0.6234800937057261,
2082-11,"2082-11(Mid Mar, 2026)",2082,11,24995,2082/83,2082,8,3,MBL,Commercial Bank,Machhapuchchhre Bank Limited,0,212.9663064595026,12.44927659746745,103.73817577811114,75.96503954498449,18.6863332372482,2.127481301691253,163.9366705027901,6.504904039750001,157.4317664630401,624.0142012200001,29237.55,12346.552197369998,13.702278356271664,12.086211563900001,3.276270877,6.556670558657137,5.253496,78.78733229794007,0.9148304210300003,20.12908219621003,6.97088176475,25.872269749470004,7.094970008239987,1.5649074915199999,3.7309396653,3.7645977651300035,7.339515691269992,1.4440086201200002,6.323334831809997,163.9366705027901,9036.217517010002,5127.60261491,3908.614902100002,1189.3183994300005,577.3433412752549,1502.8685220399998,846.9075958299998,15.413636530000003,1484.465948172904,69.4631323,0.058456554956663014,0.48711074302186796,0.356699802930704,0.08774314372964706,0.009989755361117708,0.545567297978531,0.739233210550032,0.7697774978032221,42.93982835627166,0.20162733284026338,0.13728720982236584,1.0215403008704236,
